avg len,diameter,nodes,edges,density,degree,i
4.0212765957446805,7,48,133,0.11790780141843972,6,2
4.577464788732394,7,72,201,0.07863849765258216,6,3
5.823529411764706,9,120,335,0.0469187675070028,6,5
5.094596521243228,7,168,483,0.0344311377245509,6,7
5.189537965203365,7,264,781,0.022496831432192648,6,11
6.374618682496496,11,312,897,0.018488745980707395,6,13
6.261309437780026,11,408,1190,0.014332514332514333,6,17
5.053074995180259,7,456,1425,0.013736263736263736,7,19
5.001183618716957,7,552,1771,0.011645493042952208,7,23
5.915827338129496,10,696,2117,0.008752997601918465,7,29
4.88263578344115,7,744,2511,0.00908479138627187,7,31
5.64195791055994,9,888,2775,0.007046223224351747,7,37
5.544130296338569,9,984,3116,0.006442861987114276,7,41
4.7610132407010575,7,1032,3741,0.007032007759456838,8,43
4.739803784603573,7,1128,4183,0.006580893226855959,8,47
5.32527252844044,8,1272,4187,0.005179648570679255,7,53
4.660270308039368,7,1416,5605,0.0055948174322732625,8,59
5.220613007929661,8,1464,4941,0.004613807245386192,7,61
4.610965087443925,7,1608,6633,0.005133789670192906,9,67
4.595308886003435,7,1704,7171,0.004942258759052652,9,71
5.0975333077771605,8,1752,6132,0.003997715591090805,7,73
4.547064226311746,7,1896,8295,0.004617414248021108,9,79
4.537424938326889,7,1992,8881,0.004478486522685418,9,83
4.922779341981774,7,2136,7832,0.003434816549570648,8,89
4.855526487948881,7,2328,8730,0.0032230339492909325,8,97
